"WorkerId","AssignmentStatus"
"89bea33fb9e3915ddff031d68064bddf","Approved"
"5143fe65c3986224aa7cfe957eae6437","Approved"
"8a0e3411437f327c97c7784874461d52","Approved"
"090eeb3386966f91aec162e4a5e0ec18","Approved"
"e28183f0cbb42d16997f7f7071bd32fc","Approved"
"99308b3dd9e565d4cdef9cdad75e6e9d","Approved"
"836b54079ec35e8b03a149f144cd84e4","Approved"
"74b7003f983fcbaed30a76b9d0aef9d4","Approved"
"b2be22a50470fc547c87d2f8387b792f","Approved"
"a0d1d0b40c596e349cf3320a7a7338b1","Approved"
"b5671a1c5a40b87d2b3690c2fe0bc571","Approved"
"9f1ff16bae724fa2652f000c39a0be97","Approved"
"7dca02c568b66743dbd53935d2fc8c66","Approved"
"a0f1cad4358e614d0a55fbd284cb7216","Approved"
"189524ae8c7559df108d7613774920a5","Approved"
"76e32dd4e9ea6de500f2d7283049a918","Approved"
"429408f31636ca1a98bf6fd1afffed46","Approved"
"a218c450cbd35403f9488f45fa936402","Approved"
"40d14fc0797a0031e0d8a0cd39309bfb","Approved"
"b2efa0af116fed76cce69903386b64dc","Approved"
"c8c26963f0321e5369d775c65ec2c029","Approved"
"4f6f394432f26f4d741f0adb50ad5199","Approved"
"558e002c4b2fde83d65b2d62ca4740e5","Approved"
"d2b2e6e6b7384490419dfe35049873ce","Approved"
"93308acbe7de08ece9a8516b6ae09c21","Approved"
"6b7e7959df8d6292745664221eb18e63","Approved"
"ee03de058740e5bf4af2ca973a61466a","Approved"
"5c29b999dc24edfee8479cbaf75e3d19","Approved"
"df6389abb2a753c77dd0cd132ea87679","Approved"
"8a1c9b200ca72a048147d04423853d98","Approved"
"8db8d861412bbaa1bb586766b140da6d","Approved"
"7ccda2b7156ee2c6a516a51558299a2c","Approved"
"c00d9f3ce722104b2e79be2e978e154d","Approved"
"baaaba482ad33b9a8e5df6cb279b6f9d","Approved"
"745de8c06ae32631e5c218b2ec464e7e","Approved"
"1ca87f97249ea41b306a16138ae49e94","Approved"
"ecc8f4e108872c6c8b7e89f33987fe05","Approved"
"6285fad83e4af744d9f13f787c984869","Approved"
"d33c57138e2fc37f83ed9174acf6fbd5","Approved"
"e47f292f5608c8f89bbc034fc8249855","Approved"
"30462ff486f71edd64364eea6f8f5d13","Approved"
"e915151abe17b8f5788dc862f886f68c","Approved"
"dc40aa031e8bb47b0b07f1e7677f26f6","Approved"
"48a0468a5d85e46e516501f37e1486f6","Approved"
"c0315ad45b91ca6fd168884341d4c800","Approved"
"1e40735b40fc5844f80dca4a3cca7f3a","Approved"
"d7da200b480688d491a2f43656334daa","Approved"
"cdd7d5ce4ba35d6183b30fba90632ee0","Approved"
"e2bf3b8f7c51e98f17c39f6050f3c73f","Approved"
"accbaafd8cbc826daf8a5c1004ba8f97","Approved"
"ca9085d4fbc41c4688ecad5a1e1f2d49","Approved"
"2a43f9fc3515e09e1b8824f9e149765b","Approved"
"cdd4312393db2d7b419c954c65f3d800","Approved"
"54d16ab5e9a65b9001ff1597be69db3b","Approved"
"4a1a0032fde5f95e1f39fe62428a685d","Approved"
"178cb7931a34b14de4d702531c2d17fb","Approved"
"22afc9131e2f27b3500708d27327c839","Approved"
"0dda83105809632b89425a29bc6f7fd0","Approved"
"e1fcf52be962e19fad78f879b3df5b52","Approved"
"7f32605f54d4ee51447a5bd110e681cb","Approved"
"0872ea576d248b13be535f99d1b14229","Approved"
"30937173eecbd6e58aa586c0ea79915c","Approved"
"d5a975db995be66ba7b1b9672887e909","Approved"
"b28e5c10c49d21137da64c8ebcfe1e1f","Approved"
"3017f790265d119e2104bf3f4c5f5804","Approved"
"2966630996a6c203980aa8ae2181cda7","Approved"
"0fbbd36033ec3ff0dc87c3b0bb39a785","Approved"
"d1c4aa2f127028cf0ab1c6bb0e9736aa","Approved"
"e11b3d62cfb016efb638c71da1b7d7f9","Approved"
"3c9bea1fa1cfdba0c115509731a20d0c","Approved"
"f6d291cee7f2631d270f663f62905366","Approved"
"d002791a9d5c12d7fa06428e50d0ab66","Approved"
"d754ba6a4c0fdb223894d3537b824697","Approved"
"879e98e8d53c6e3e7e472809673c4bfe","Approved"
"bca8bd9bb678a6235e0d4ea242354094","Approved"
"fc770b33f689f90ddcb0df94f1563dae","Approved"
"3f9cb8452af1209e95398c7b42ef030a","Approved"
"f3e67639cfea5d40a96db949338fd920","Approved"
"7e3e8a08147db7d59197055b09114b69","Approved"
"e2be5c75c429aa7932932f8bd637bf24","Approved"
"8dcfe5e6bc31f9add980f7afefc55106","Approved"
"d7c0b0db9600e11f9ff401abed25fbf3","Approved"
"0e7fa69e3b27c47de22b18cbf445e060","Approved"
"57ac5cecd534d01a979fdd02ebc50633","Approved"
"a83b25c33aebf65e7a0e8d679aca8a6a","Approved"
"55dd48d90ac78c18c7d237ef047c09c6","Approved"
"306b54a71130a7c706f009cf9ef1bc0d","Approved"
"05503c645effc71f509d059a18b7a845","Approved"
"b70602f274ad034096eeb38938b1bf13","Approved"
"0090c25dcd942222f6b6fa184e24d396","Approved"
"2abbf5bd2d2af31b8a54f7f596c3d534","Approved"
"984abe0aea27f14910dd305fc0547db9","Approved"
"4c7df07833e5c6e1fed633e18252b216","Approved"
"b15da2b53fd0e70c5a36b35b0caa4b93","Approved"
"a0a98b17659f86adacf73c50cb8a9282","Approved"
"788f9474c1f75fb40d4cbdc12ad922f0","Approved"
"810dc64d2a1ff0fc43398a44697ab1c0","Approved"
"673d6246d1c59e83348ea1928b31b117","Approved"
"a886f110141dcf96f6ea6eb521a08ef0","Approved"
"643cc751218a02dd0e0ff74fbdeacb87","Approved"
"a4158b57322ff7728efbde177bb6acb5","Approved"
"6520bf685de02ada6a8efe9480cdf3e6","Approved"
"ecf515e3d1ad8992da80043361d5da02","Approved"
"af31e62f193041ddadbfd7f7e6750e2c","Approved"
"e36441966c2f679e3573025462c390b1","Approved"
"ea9a001995db48750a44db7c5f506705","Approved"
"4042ed0e79ee742f3e9364c437000a19","Approved"
"1a309776c51f2017b04280bdd3c21675","Approved"
